filename,filepath,modality_code,vocal_channel_code,emotion_code,intensity_code,statement_code,repetition_code,actor_code,modality,vocal_channel,emotion,intensity,statement,repetition,actor_gender
03-01-01-01-01-01-01.wav,data/Actor_01/03-01-01-01-01-01-01.wav,03,01,01,01,01,01,01,audio-only,speech,neutral,normal,Kids are talking by the door,1st,male
03-01-01-01-01-02-01.wav,data/Actor_01/03-01-01-01-01-02-01.wav,03,01,01,01,01,02,01,audio-only,speech,neutral,normal,Kids are talking by the door,2nd,male
03-01-01-01-02-01-01.wav,data/Actor_01/03-01-01-01-02-01-01.wav,03,01,01,01,02,01,01,audio-only,speech,neutral,normal,Dogs are sitting by the door,1st,male
03-01-01-01-02-02-01.wav,data/Actor_01/03-01-01-01-02-02-01.wav,03,01,01,01,02,02,01,audio-only,speech,neutral,normal,Dogs are sitting by the door,2nd,male
03-01-02-01-01-01-01.wav,data/Actor_01/03-01-02-01-01-01-01.wav,03,01,02,01,01,01,01,audio-only,speech,calm,normal,Kids are talking by the door,1st,male
03-01-02-01-01-02-01.wav,data/Actor_01/03-01-02-01-01-02-01.wav,03,01,02,01,01,02,01,audio-only,speech,calm,normal,Kids are talking by the door,2nd,male
03-01-02-01-02-01-01.wav,data/Actor_01/03-01-02-01-02-01-01.wav,03,01,02,01,02,01,01,audio-only,speech,calm,normal,Dogs are sitting by the door,1st,male
03-01-02-01-02-02-01.wav,data/Actor_01/03-01-02-01-02-02-01.wav,03,01,02,01,02,02,01,audio-only,speech,calm,normal,Dogs are sitting by the door,2nd,male
03-01-02-02-01-01-01.wav,data/Actor_01/03-01-02-02-01-01-01.wav,03,01,02,02,01,01,01,audio-only,speech,calm,strong,Kids are talking by the door,1st,male
03-01-02-02-01-02-01.wav,data/Actor_01/03-01-02-02-01-02-01.wav,03,01,02,02,01,02,01,audio-only,speech,calm,strong,Kids are talking by the door,2nd,male
03-01-02-02-02-01-01.wav,data/Actor_01/03-01-02-02-02-01-01.wav,03,01,02,02,02,01,01,audio-only,speech,calm,strong,Dogs are sitting by the door,1st,male
03-01-02-02-02-02-01.wav,data/Actor_01/03-01-02-02-02-02-01.wav,03,01,02,02,02,02,01,audio-only,speech,calm,strong,Dogs are sitting by the door,2nd,male
03-01-03-01-01-01-01.wav,data/Actor_01/03-01-03-01-01-01-01.wav,03,01,03,01,01,01,01,audio-only,speech,happy,normal,Kids are talking by the door,1st,male
03-01-03-01-01-02-01.wav,data/Actor_01/03-01-03-01-01-02-01.wav,03,01,03,01,01,02,01,audio-only,speech,happy,normal,Kids are talking by the door,2nd,male
03-01-03-01-02-01-01.wav,data/Actor_01/03-01-03-01-02-01-01.wav,03,01,03,01,02,01,01,audio-only,speech,happy,normal,Dogs are sitting by the door,1st,male
03-01-03-01-02-02-01.wav,data/Actor_01/03-01-03-01-02-02-01.wav,03,01,03,01,02,02,01,audio-only,speech,happy,normal,Dogs are sitting by the door,2nd,male
03-01-03-02-01-01-01.wav,data/Actor_01/03-01-03-02-01-01-01.wav,03,01,03,02,01,01,01,audio-only,speech,happy,strong,Kids are talking by the door,1st,male
03-01-03-02-01-02-01.wav,data/Actor_01/03-01-03-02-01-02-01.wav,03,01,03,02,01,02,01,audio-only,speech,happy,strong,Kids are talking by the door,2nd,male
03-01-03-02-02-01-01.wav,data/Actor_01/03-01-03-02-02-01-01.wav,03,01,03,02,02,01,01,audio-only,speech,happy,strong,Dogs are sitting by the door,1st,male
03-01-03-02-02-02-01.wav,data/Actor_01/03-01-03-02-02-02-01.wav,03,01,03,02,02,02,01,audio-only,speech,happy,strong,Dogs are sitting by the door,2nd,male
03-01-04-01-01-01-01.wav,data/Actor_01/03-01-04-01-01-01-01.wav,03,01,04,01,01,01,01,audio-only,speech,sad,normal,Kids are talking by the door,1st,male
03-01-04-01-01-02-01.wav,data/Actor_01/03-01-04-01-01-02-01.wav,03,01,04,01,01,02,01,audio-only,speech,sad,normal,Kids are talking by the door,2nd,male
03-01-04-01-02-01-01.wav,data/Actor_01/03-01-04-01-02-01-01.wav,03,01,04,01,02,01,01,audio-only,speech,sad,normal,Dogs are sitting by the door,1st,male
03-01-04-01-02-02-01.wav,data/Actor_01/03-01-04-01-02-02-01.wav,03,01,04,01,02,02,01,audio-only,speech,sad,normal,Dogs are sitting by the door,2nd,male
03-01-04-02-01-01-01.wav,data/Actor_01/03-01-04-02-01-01-01.wav,03,01,04,02,01,01,01,audio-only,speech,sad,strong,Kids are talking by the door,1st,male
03-01-04-02-01-02-01.wav,data/Actor_01/03-01-04-02-01-02-01.wav,03,01,04,02,01,02,01,audio-only,speech,sad,strong,Kids are talking by the door,2nd,male
03-01-04-02-02-01-01.wav,data/Actor_01/03-01-04-02-02-01-01.wav,03,01,04,02,02,01,01,audio-only,speech,sad,strong,Dogs are sitting by the door,1st,male
